kode,nama_tender,instansi,status_tender,hps,5,6,7,8,9,10,11,12,13,kategori,pagu,hps_detail,nama_pemenang,alamat_pemenang,npwp_pemenang,penawaran_pemenang,preprocessing
6572119,Pekerjaan Pemeliharaan Kebersihan Gedung dan Taman TA. 2020,Kementerian Perencanaan Pembangunan Nasional,Upload Dokumen Penawaran,"6,9 M",Pascakualifikasi Satu File,Tender Cepat,Harga Terendah Sistem Gugur,Jasa Lainnya - TA 2020,3,Nilai Kontrak belum dibuat,,,0,12,,,,,,,pekerjaan pemeliharaan kebersihan gedung taman ta 2020
6570119,Pekerjaan Sewa Mesin Fotokopi TA. 2020,Kementerian Perencanaan Pembangunan Nasional,"Evaluasi Administrasi, Kualifikasi, Teknis, dan Harga [...]","8,3 M",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya - TA 2020,3,Nilai Kontrak belum dibuat,,,0,18,,,,,,,pekerjaan sewa mesin fotokopi ta 2020
6569119,Konsultan Pengembangan Aplikasi Pendukung SPSE,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,Kirim Persyaratan Kualifikasi,"1,4 M",Prakualifikasi Dua File,Seleksi,Pagu Anggaran,Jasa Konsultansi Badan Usaha - TA 2020,3,Nilai Kontrak belum dibuat,,,0,7,,,,,,,konsultan pengembangan aplikasi pendukung spse
6568119,Pengadaan Jasa Mechanical Electrical Tahun Anggaran 2020 <span class='label label-warning'>Tender Ulang</span>,Kementerian Pemberdayaan Perempuan Dan Perlindungan Anak,Masa Sanggah,"2,9 M",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya - TA 2020,3,Nilai Kontrak belum dibuat,,,0,23,,,,,,,pengadaan jasa mechanical electrical tahun anggaran 2020 span class='label label-warning tender ulang /span
6567119,Pengadaan Jasa Pengamanan Tahun Anggaran 2020 <span class='label label-warning'>Tender Ulang</span>,Kementerian Pemberdayaan Perempuan Dan Perlindungan Anak,Masa Sanggah,"3,6 M",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya - TA 2020,3,Nilai Kontrak belum dibuat,,,0,10,,,,,,,pengadaan jasa pengamanan tahun anggaran 2020 span class='label label-warning tender ulang /span
6566119,Pengadaan Sewa Mesin Fotocopy Tahun 2020,Sekretariat Kabinet,Masa Sanggah,"1,2 M",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya - TA 2020,3,Nilai Kontrak belum dibuat,,,0,18,,,,,,,pengadaan sewa mesin fotocopy tahun 2020
6552119,Pembangunan Reservoir Jengkol Kapasitas 150 m3 Cabang Garung <span class='label label-warning'>Tender Ulang</span>,PDAM Tirta Aji Kabupaten Wonosobo,Masa Sanggah,"457,6 Jt",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Pekerjaan Konstruksi - TA 2019,3,Nilai Kontrak belum dibuat,,,0,20,,,,,,,pembangunan reservoir jengkol kapasitas 150 m3 cabang garung span class='label label-warning tender ulang /span
6547119,Pengadaan Jasa Cleaning Service Bulan Januari s.d. Desember Tahun 2020,Badan Pemeriksa Keuangan,Masa Sanggah,2 M,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya - TA 2020,3,Nilai Kontrak belum dibuat,,,0,16,,,,,,,pengadaan jasa cleaning service bulan januari s.d desember tahun 2020
6544119,Konsultan Penghubung/Liasson Officer (Lo) Provinsi Papua Barat Pada Kegiatan Desk Percepatan Pembangunan Wilayah Papua Dan Papua Barat (Desk Papua),Kementerian Perencanaan Pembangunan Nasional,Pembukaan dan Evaluasi Penawaran File II: Harga [...],144 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,1,,,,,,,konsultan penghubung/liasson officer lo provinsi papua barat kegiatan desk percepatan pembangunan wilayah papua papua barat desk papua
6542119,Tenaga Ahli Senior Bidang  Kelembagaan Dan Tata Kelola Pada Kegiatan Desk Percepatan Pembangunan Wilayah Papua Dan Papua Barat (Desk Papua),Kementerian Perencanaan Pembangunan Nasional,Pembukaan dan Evaluasi Penawaran File II: Harga [...],189 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,1,,,,,,,tenaga ahli senior bidang kelembagaan tata kelola kegiatan desk percepatan pembangunan wilayah papua papua barat desk papua
6541119,Pengadaan Jasa Event Organizer Promosi Bidang Perlindungan Hak Perempuan,Kementerian Pemberdayaan Perempuan Dan Perlindungan Anak,Tender Sudah Selesai,"1,7 M",Pascakualifikasi Satu File,Tender Cepat,Harga Terendah Sistem Gugur,Jasa Lainnya - TA 2019,3,Nilai Kontrak belum dibuat,,,0,15,"Rp 2.803.216.000,00","Rp 1.705.585.750,00",PT. Indo Potency,Jl. letjen Suprapto No. 37 B Kel. Sidomulyo Kec Ungaran Timur Kab. Semarang  - Semarang (Kab.) - Jawa Tengah,66.962.101.3-505.000,"Rp 1.051.551.490,00",pengadaan jasa event organizer promosi bidang perlindungan hak perempuan
6538119,PENGADAAN JASA TENAGA ASISTEN MANAJER  BIDANG MONITORING DAN EVALUASI PUSAT dan DAERAH REGIONAL 2  KEGIATAN KOORDINASI STRATEGIS PELAKSANAAN TUJUAN PEMBANGUNAN BERKELANJUTAN/SUSTAINABLE DEVELOPMENT GOALS (TPB/SDGs) TAHUN 2020  DIREKTORAT KEHUTANAN DAN KONSERVASI SUMBER DAYA AIR TAHUN ANGGARAN 2020,Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,180 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,10,,,,,,,pengadaan jasa tenaga asisten manajer bidang monitoring evaluasi pusat daerah regional 2 kegiatan koordinasi strategis pelaksanaan tujuan pembangunan berkelanjutan/sustainable development goals tpb/sdgs tahun 2020 direktorat kehutanan konservasi sumber daya air tahun anggaran 2020
6534119,Pengadaan Jasa Kebersihan Tahun Anggaran 2020,Kementerian Pemberdayaan Perempuan Dan Perlindungan Anak,Surat Penunjukan Penyedia Barang/Jasa,"4,3 M",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya - TA 2020,3,Nilai Kontrak belum dibuat,,,0,12,,,,,,,pengadaan jasa kebersihan tahun anggaran 2020
6532119,"Pekerjaan Pengadaan dan Pemasangan Pipa Distribusi HDPE Dia. 300mm, Panjang 1600 Meter di PDAM Cabang Tenggarong",PDAM Tirta Mahakam,Tidak Ada Jadwal,"3,1 M",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Pekerjaan Konstruksi - TA 2019,3,Nilai Kontrak belum dibuat,,,0,0,,,,,,,pekerjaan pengadaan pemasangan pipa distribusi hdpe 300mm panjang 1600 meter pdam cabang tenggarong
6527119,Media Visual LED Videotron Indoor <span class='label label-warning'>Tender Ulang</span>,Kementerian Koordinator Bidang Kemaritiman,Tender Sudah Selesai,"1,5 M",Pascakualifikasi Satu File,Tender Cepat,Harga Terendah Sistem Gugur,Pengadaan Barang - TA 2019,3,Nilai Kontrak belum dibuat,,,0,17,"Rp 1.550.758.655,00","Rp 1.499.871.800,90",PT. SARANA GLOBAL PRIMA,"Jl. Rajawali Selatan Raya, Rukan Multiguna Blok 1G, Kemayoran  - Jakarta Utara (Kota) - DKI Jakarta",02.189.176.7-044.000,"Rp 1.449.871.800,00",media visual led videotron indoor span class='label label-warning tender ulang /span
6519119,Tenaga Ahli/Konsultan Bidang Konservasi Sumber Daya Alam dan Lingkungan,Kementerian Perencanaan Pembangunan Nasional,Pembuktian Kualifikasi [...],132 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,11,,,,,,,tenaga ahli/konsultan bidang konservasi sumber daya alam lingkungan
6518119,Tenaga Ahli /Konsultan Bidang Studi Pengelolaan Sumber Daya Alam dan Lingkungan/Kebijakan Publik,Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,108 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,11,,,,,,,tenaga ahli /konsultan bidang studi pengelolaan sumber daya alam lingkungan/kebijakan publik
6517119,TENAGA AHLI/KONSULTAN BIDANG EKONOMI   SUMBER DAYA ALAM DAN LINGKUNGAN,Kementerian Perencanaan Pembangunan Nasional,Pembuktian Kualifikasi [...],150 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,11,,,,,,,tenaga ahli/konsultan bidang ekonomi sumber daya alam lingkungan
6516119,TENAGA AHLI/KONSULTAN BIDANG PENGELOLAAN   SUMBER DAYA ALAM DAN LINGKUNGAN HIDUP,Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,108 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,11,,,,,,,tenaga ahli/konsultan bidang pengelolaan sumber daya alam lingkungan hidup
6513119,PENGADAAN TENAGA AHLI BIDANG PLANOLOGI/PERENCANAAN WILAYAH KOTA UNTUK MENDUKUNG PELAKSANAAN PENYUSUNAN KAJIAN KONSEP FOREST CITY  DALAM PERENCANAAN IBU KOTA NEGARA,Kementerian Perencanaan Pembangunan Nasional,Upload Dokumen Penawaran,114 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,4,,,,,,,pengadaan tenaga ahli bidang planologi/perencanaan wilayah kota mendukung pelaksanaan penyusunan kajian konsep forest city perencanaan ibu kota negara
6512119,"PENGADAAN TENAGA AHLI/KONSULTAN INDIVIDUAL BIDANG EVALUASI DALAM RANGKA PELAKSANAAN KEGIATAN KOORDINASI PERENCANAAN, PEMANTAUAN, DAN EVALUASI DANA ALOKASI KHUSUS (DAK) SUBBIDANG KEHUTANAN",Kementerian Perencanaan Pembangunan Nasional,Upload Dokumen Penawaran,120 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,4,,,,,,,pengadaan tenaga ahli/konsultan individual bidang evaluasi rangka pelaksanaan kegiatan koordinasi perencanaan pemantauan evaluasi dana alokasi khusus dak subbidang kehutanan
6511119,PENGADAAN TENAGA AHLI BIDANG KEHUTANAN  UNTUK MENDUKUNG PELAKSANAAN KEGIATAN KOORDINASI PENYUSUNAN RENCANA PEMBANGUNAN JANGKA MENENGAH NASIONAL (RPJMN) 2020-2024 BIDANG KEHUTANAN DAN KONSERVASI SUMBER DAYA AIR,Kementerian Perencanaan Pembangunan Nasional,Upload Dokumen Penawaran,126 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,22,,,,,,,pengadaan tenaga ahli bidang kehutanan mendukung pelaksanaan kegiatan koordinasi penyusunan rencana pembangunan jangka menengah nasional rpjmn 2020-2024 bidang kehutanan konservasi sumber daya air
6510119,PENGADAAN TENAGA AHLI BIDANG PENGELOLAAN SUMBER DAYA AIR UNTUK MENDUKUNG PELAKSANAAN KEGIATAN KOORDINASI PENYUSUNAN RENCANA PEMBANGUNAN JANGKA MENENGAH NASIONAL (RPJMN) 2020-2024 BIDANG KEHUTANAN DAN KONSERVASI SUMBER DAYA AIR  TAHUN ANGGARAN 2020,Kementerian Perencanaan Pembangunan Nasional,Upload Dokumen Penawaran,126 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,22,,,,,,,pengadaan tenaga ahli bidang pengelolaan sumber daya air mendukung pelaksanaan kegiatan koordinasi penyusunan rencana pembangunan jangka menengah nasional rpjmn 2020-2024 bidang kehutanan konservasi sumber daya air tahun anggaran 2020
6509119,PENGADAAN TENAGA AHLI SENIOR/KONSULTAN MANAGER PILAR PEMBANGUNAN SOSIAL KEGIATAN KOORDINASI STRATEGIS PELAKSANAAN TUJUAN PEMBANGUNAN BERKELANJUTAN (TPB)/  SUSTAINABLE DEVELOPMENT GOALS (SDGS),Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,660 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,10,,,,,,,pengadaan tenaga ahli senior/konsultan manager pilar pembangunan sosial kegiatan koordinasi strategis pelaksanaan tujuan pembangunan berkelanjutan tpb sustainable development goals sdgs
6507119,PENGADAAN TENAGA AHLI SENIOR/KONSULTAN MANAGER PILAR PEMBANGUNAN EKONOMI KEGIATAN KOORDINASI STRATEGIS PELAKSANAAN TUJUAN PEMBANGUNAN BERKELANJUTAN (TPB)/  SUSTAINABLE DEVELOPMENT GOALS (SDGS),Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,660 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,10,,,,,,,pengadaan tenaga ahli senior/konsultan manager pilar pembangunan ekonomi kegiatan koordinasi strategis pelaksanaan tujuan pembangunan berkelanjutan tpb sustainable development goals sdgs
6506119,PENGADAAN TENAGA PROFESIONAL ASISTEN MANAGER PILAR PEMBANGUNAN HUKUM DAN TATA KELOLA BIDANG DATABASE KEGIATAN KOORDINASI PELAKSANAAN PENCAPAIAN TUJUAN PEMBANGUNAN BERKELANJUTAN/SDGS Direktorat Kehutanan dan Konservasi Sumber Daya Air Tahun Anggaran 2020,Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,"153,3 Jt",Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,10,,,,,,,pengadaan tenaga profesional asisten manager pilar pembangunan hukum tata kelola bidang database kegiatan koordinasi pelaksanaan pencapaian tujuan pembangunan berkelanjutan/sdgs direktorat kehutanan konservasi sumber daya air tahun anggaran 2020
6504119,PENGADAAN JASA MANAJER MONITORING DAN EVALUASI  KEGIATAN KOORDINASI STRATEGIS PELAKSANAAN TUJUAN PEMBANGUNAN BERKELANJUTAN/SUSTAINABLE DEVELOPMENT GOALS (TPB/SDGs) TAHUN 2019  DIREKTORAT KEHUTANAN DAN KONSERVASI SUMBER DAYA AIR TAHUN ANGGARAN 2020,Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,660 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,10,,,,,,,pengadaan jasa manajer monitoring evaluasi kegiatan koordinasi strategis pelaksanaan tujuan pembangunan berkelanjutan/sustainable development goals tpb/sdgs tahun 2019 direktorat kehutanan konservasi sumber daya air tahun anggaran 2020
6503119,PENGADAAN TENAGA AHLI/KONSULTAN  ASISTEN MANAGER PILAR PEMBANGUNAN LINGKUNGAN BIDANG DATABASE KEGIATAN KOORDINASI STRATEGIS PELAKSANAAN  TUJUAN PEMBANGUNAN BERKELANJUTAN (TPB)/ SUSTAINABLE DEVELOPMENT GOALS (SDGS),Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,"153,3 Jt",Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,10,,,,,,,pengadaan tenaga ahli/konsultan asisten manager pilar pembangunan lingkungan bidang database kegiatan koordinasi strategis pelaksanaan tujuan pembangunan berkelanjutan tpb sustainable development goals sdgs
6502119,GRAPHIC DESIGNER SEKRETARIAT PEMBANGUNAN RENDAH KARBON  DIREKTORAT LINGKUNGAN HIDUP BAPPENAS TAHUN ANGGARAN 2020,Kementerian Perencanaan Pembangunan Nasional,Klarifikasi Teknis dan Negosiasi [...],"123,7 Jt",Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,10,,,,,,,graphic designer sekretariat pembangunan rendah karbon direktorat lingkungan hidup bappenas tahun anggaran 2020
