,kode,nama_tender,instansi,status_tender,hps,metode pascakualifikasi,metode pemilihan,metode evaluasi,kategori,9,10,11,12,13,kategori.1,pagu,hps_detail,nama_pemenang,alamat_pemenang,npwp_pemenang,penawaran_pemenang,preprocessing,hps_number,penawaran_pemenang_number,rekomendasi_harga_penawaran
10,6589119,Tenaga Ahli Ekonomi Kegiatan Koordinasi Strategis Pelaksanaan DAK Transportasi,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],312 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,tenaga ahli ekonomi kegiatan koordinasi strategis pelaksanaan dak transportasi,312000000.0,0.0,283117434.1688745
11,6588119,Tenaga Ahli Monitoring dan Evaluasi Kegiatan Koordinasi Strategis Pelaksanaan DAK Transportasi,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],312 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,tenaga ahli monitoring evaluasi kegiatan koordinasi strategis pelaksanaan dak transportasi,312000000.0,0.0,283117434.1688745
12,6587119,Tenaga Ahli Muda Project Management Kegiatan Persiapan dan Pengembangan Program Compact Tahap II,Kementerian Perencanaan Pembangunan Nasional,Upload Dokumen Penawaran,120 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,tenaga ahli muda project management kegiatan persiapan pengembangan program compact tahap ii,120000000.0,0.0,108891320.8341825
13,6585119,"Perawatan, Pemeliharaan, Keindahan dan Keamanan Gedung LKPP <span class='label label-warning'>Tender Ulang</span>",Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,Download Dokumen Pemilihan [...],"11,5 M",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,perawatan pemeliharaan keindahan keamanan gedung lkpp span class='label label-warning tender ulang /span,11500000000.0,0.0,10435418246.609158
14,6584119,Pekerjaan Pengadaan Alat Rumah Tangga TA. 2020,Kementerian Perencanaan Pembangunan Nasional,Pembukaan Dokumen Penawaran [...],"567,7 Jt",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Pengadaan Barang,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pekerjaan pengadaan alat rumah tangga ta 2020,567700000.0,0.0,515146690.31304514
15,6583119,Pekerjaan Alat Tulis Kantor TA. 2020,Kementerian Perencanaan Pembangunan Nasional,Pembukaan Dokumen Penawaran [...],"1,4 M",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Pengadaan Barang,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pekerjaan alat tulis kantor ta 2020,1400000000.0,0.0,1270398743.0654626
16,6582119,Konsultan Pengembangan Aplikasi SPSE II,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,Download Dokumen Kualifikasi [...],480 Jt,Prakualifikasi Dua File,Seleksi,Pagu Anggaran,Jasa Konsultansi Badan Usaha,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,konsultan pengembangan aplikasi spse ii,480000000.0,0.0,435565283.33673
17,6581119,Konsultan Pengembangan Aplikasi SPSE I,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,Download Dokumen Kualifikasi [...],715 Jt,Prakualifikasi Dua File,Seleksi,Pagu Anggaran,Jasa Konsultansi Badan Usaha,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,konsultan pengembangan aplikasi spse i,715000000.0,0.0,648810786.6370041
18,6580119,Langganan Jasa Layanan Internet di Lingkungan Sekretariat Kabinet TA 2020,Sekretariat Kabinet,Upload Dokumen Penawaran,"1,9 M",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,langganan jasa layanan internet lingkungan sekretariat kabinet ta 2020,1900000000.0,0.0,1724112579.8745565
19,6578119,Pekerjaan Sewa Pengharum Ruangan dan Sistem Sanitasi Toilet TA. 2020,Kementerian Perencanaan Pembangunan Nasional,Pembukaan Dokumen Penawaran [...],"363,1 Jt",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pekerjaan sewa pengharum ruangan sistem sanitasi toilet ta 2020,363100000.0,0.0,329486988.29076385
20,6577119,Pekerjaan Pemeliharaan Sistem Tata Udara TA. 2020,Kementerian Perencanaan Pembangunan Nasional,Pembukaan Dokumen Penawaran [...],"991,3 Jt",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pekerjaan pemeliharaan sistem tata udara ta 2020,991300000.0,0.0,899533052.8577092
21,6576119,"Pekerjaan Pemeliharaan Sistem Pemadam Kebakaran (Hydrant, APAR, Spinkler, dan Fire Alarm) TA. 2020",Kementerian Perencanaan Pembangunan Nasional,Pembukaan Dokumen Penawaran [...],"752,8 Jt",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pekerjaan pemeliharaan sistem pemadam kebakaran hydrant apar spinkler fire alarm ta 2020,752800000.0,0.0,683111552.6997715
22,6575119,Pekerjaan Pemeliharaan Sistem Plumbing dan STP TA. 2020,Kementerian Perencanaan Pembangunan Nasional,Pembukaan Dokumen Penawaran [...],"524,1 Jt",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pekerjaan pemeliharaan sistem plumbing stp ta 2020,524100000.0,0.0,475582843.7432921
23,6574119,Pekerjaan Pemeliharaan Sistem Mekanikal dan Elektrikal TA. 2020,Kementerian Perencanaan Pembangunan Nasional,Pembukaan Dokumen Penawaran [...],"824,8 Jt",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pekerjaan pemeliharaan sistem mekanikal elektrikal ta 2020,824800000.0,0.0,748446345.2002811
24,6573119,-     Cleaning service,Sekretariat Kabinet,"Evaluasi Administrasi, Kualifikasi, Teknis, dan Harga","2,1 M",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,cleaning service,2100000000.0,0.0,1905598114.5981941
25,6572119,Pekerjaan Pemeliharaan Kebersihan Gedung dan Taman TA. 2020,Kementerian Perencanaan Pembangunan Nasional,Upload Dokumen Penawaran,"6,9 M",Pascakualifikasi Satu File,Tender Cepat,Harga Terendah Sistem Gugur,Jasa Lainnya,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pekerjaan pemeliharaan kebersihan gedung taman ta 2020,6900000000.0,0.0,6261250947.965494
26,6570119,Pekerjaan Sewa Mesin Fotokopi TA. 2020,Kementerian Perencanaan Pembangunan Nasional,"Evaluasi Administrasi, Kualifikasi, Teknis, dan Harga [...]","8,3 M",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pekerjaan sewa mesin fotokopi ta 2020,8300000000.000002,0.0,7531649691.030956
27,6569119,Konsultan Pengembangan Aplikasi Pendukung SPSE,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,Kirim Persyaratan Kualifikasi,"1,4 M",Prakualifikasi Dua File,Seleksi,Pagu Anggaran,Jasa Konsultansi Badan Usaha,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,konsultan pengembangan aplikasi pendukung spse,1400000000.0,0.0,1270398743.0654626
28,6568119,Pengadaan Jasa Mechanical Electrical Tahun Anggaran 2020 <span class='label label-warning'>Tender Ulang</span>,Kementerian Pemberdayaan Perempuan Dan Perlindungan Anak,Masa Sanggah,"2,9 M",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pengadaan jasa mechanical electrical tahun anggaran 2020 span class='label label-warning tender ulang /span,2900000000.0,0.0,2631540253.492744
29,6567119,Pengadaan Jasa Pengamanan Tahun Anggaran 2020 <span class='label label-warning'>Tender Ulang</span>,Kementerian Pemberdayaan Perempuan Dan Perlindungan Anak,Masa Sanggah,"3,6 M",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pengadaan jasa pengamanan tahun anggaran 2020 span class='label label-warning tender ulang /span,3600000000.0,0.0,3266739625.025475
30,6566119,Pengadaan Sewa Mesin Fotocopy Tahun 2020,Sekretariat Kabinet,Masa Sanggah,"1,2 M",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pengadaan sewa mesin fotocopy tahun 2020,1200000000.0,0.0,1088913208.341825
31,6552119,Pembangunan Reservoir Jengkol Kapasitas 150 m3 Cabang Garung <span class='label label-warning'>Tender Ulang</span>,PDAM Tirta Aji Kabupaten Wonosobo,Masa Sanggah,"457,6 Jt",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Pekerjaan Konstruksi,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pembangunan reservoir jengkol kapasitas 150 m3 cabang garung span class='label label-warning tender ulang /span,457600000.0,0.0,415238903.4476826
32,6547119,Pengadaan Jasa Cleaning Service Bulan Januari s.d. Desember Tahun 2020,Badan Pemeriksa Keuangan,Masa Sanggah,2 M,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pengadaan jasa cleaning service bulan januari s.d desember tahun 2020,2000000000.0,0.0,1814855347.236375
33,6544119,Konsultan Penghubung/Liasson Officer (Lo) Provinsi Papua Barat Pada Kegiatan Desk Percepatan Pembangunan Wilayah Papua Dan Papua Barat (Desk Papua),Kementerian Perencanaan Pembangunan Nasional,Pembukaan dan Evaluasi Penawaran File II: Harga [...],144 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,konsultan penghubung/liasson officer lo provinsi papua barat kegiatan desk percepatan pembangunan wilayah papua papua barat desk papua,144000000.0,0.0,130669585.001019
34,6542119,Tenaga Ahli Senior Bidang  Kelembagaan Dan Tata Kelola Pada Kegiatan Desk Percepatan Pembangunan Wilayah Papua Dan Papua Barat (Desk Papua),Kementerian Perencanaan Pembangunan Nasional,Pembukaan dan Evaluasi Penawaran File II: Harga [...],189 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,tenaga ahli senior bidang kelembagaan tata kelola kegiatan desk percepatan pembangunan wilayah papua papua barat desk papua,189000000.0,0.0,171503830.31383744
35,6541119,Pengadaan Jasa Event Organizer Promosi Bidang Perlindungan Hak Perempuan,Kementerian Pemberdayaan Perempuan Dan Perlindungan Anak,Tender Sudah Selesai,"1,7 M",Pascakualifikasi Satu File,Tender Cepat,Harga Terendah Sistem Gugur,Jasa Lainnya,3,Nilai Kontrak belum dibuat,,,0,Jasa Lainnya,"Rp 2.803.216.000,00","Rp 1.705.585.750,00",PT. Indo Potency,Jl. letjen Suprapto No. 37 B Kel. Sidomulyo Kec Ungaran Timur Kab. Semarang  - Semarang (Kab.) - Jawa Tengah,66.962.101.3-505.000,"Rp 1.051.551.490,00",pengadaan jasa event organizer promosi bidang perlindungan hak perempuan,1700000000.0,1051551490.0,1542627045.1509187
36,6538119,PENGADAAN JASA TENAGA ASISTEN MANAJER  BIDANG MONITORING DAN EVALUASI PUSAT dan DAERAH REGIONAL 2  KEGIATAN KOORDINASI STRATEGIS PELAKSANAAN TUJUAN PEMBANGUNAN BERKELANJUTAN/SUSTAINABLE DEVELOPMENT GOALS (TPB/SDGs) TAHUN 2020  DIREKTORAT KEHUTANAN DAN KONSERVASI SUMBER DAYA AIR TAHUN ANGGARAN 2020,Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,180 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pengadaan jasa tenaga asisten manajer bidang monitoring evaluasi pusat daerah regional 2 kegiatan koordinasi strategis pelaksanaan tujuan pembangunan berkelanjutan/sustainable development goals tpb/sdgs tahun 2020 direktorat kehutanan konservasi sumber daya air tahun anggaran 2020,180000000.0,0.0,163336981.25127375
37,6534119,Pengadaan Jasa Kebersihan Tahun Anggaran 2020,Kementerian Pemberdayaan Perempuan Dan Perlindungan Anak,Surat Penunjukan Penyedia Barang/Jasa,"4,3 M",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pengadaan jasa kebersihan tahun anggaran 2020,4300000000.0,0.0,3901938996.558207
38,6532119,"Pekerjaan Pengadaan dan Pemasangan Pipa Distribusi HDPE Dia. 300mm, Panjang 1600 Meter di PDAM Cabang Tenggarong",PDAM Tirta Mahakam,Tidak Ada Jadwal,"3,1 M",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Pekerjaan Konstruksi,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pekerjaan pengadaan pemasangan pipa distribusi hdpe 300mm panjang 1600 meter pdam cabang tenggarong,3100000000.0,0.0,2813025788.216381
39,6527119,Media Visual LED Videotron Indoor <span class='label label-warning'>Tender Ulang</span>,Kementerian Koordinator Bidang Kemaritiman,Tender Sudah Selesai,"1,5 M",Pascakualifikasi Satu File,Tender Cepat,Harga Terendah Sistem Gugur,Pengadaan Barang,3,Nilai Kontrak belum dibuat,,,0,Pengadaan Barang,"Rp 1.550.758.655,00","Rp 1.499.871.800,90",PT. SARANA GLOBAL PRIMA,"Jl. Rajawali Selatan Raya, Rukan Multiguna Blok 1G, Kemayoran  - Jakarta Utara (Kota) - DKI Jakarta",02.189.176.7-044.000,"Rp 1.449.871.800,00",media visual led videotron indoor span class='label label-warning tender ulang /span,1500000000.0,1449871800.0,1361141510.4272814
40,6519119,Tenaga Ahli/Konsultan Bidang Konservasi Sumber Daya Alam dan Lingkungan,Kementerian Perencanaan Pembangunan Nasional,Pembuktian Kualifikasi [...],132 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,tenaga ahli/konsultan bidang konservasi sumber daya alam lingkungan,132000000.0,0.0,119780452.91760077
41,6518119,Tenaga Ahli /Konsultan Bidang Studi Pengelolaan Sumber Daya Alam dan Lingkungan/Kebijakan Publik,Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,108 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,tenaga ahli /konsultan bidang studi pengelolaan sumber daya alam lingkungan/kebijakan publik,108000000.0,0.0,98002188.75076424
42,6517119,TENAGA AHLI/KONSULTAN BIDANG EKONOMI   SUMBER DAYA ALAM DAN LINGKUNGAN,Kementerian Perencanaan Pembangunan Nasional,Pembuktian Kualifikasi [...],150 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,tenaga ahli/konsultan bidang ekonomi sumber daya alam lingkungan,150000000.0,0.0,136114151.04272813
43,6516119,TENAGA AHLI/KONSULTAN BIDANG PENGELOLAAN   SUMBER DAYA ALAM DAN LINGKUNGAN HIDUP,Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,108 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,tenaga ahli/konsultan bidang pengelolaan sumber daya alam lingkungan hidup,108000000.0,0.0,98002188.75076424
44,6513119,PENGADAAN TENAGA AHLI BIDANG PLANOLOGI/PERENCANAAN WILAYAH KOTA UNTUK MENDUKUNG PELAKSANAAN PENYUSUNAN KAJIAN KONSEP FOREST CITY  DALAM PERENCANAAN IBU KOTA NEGARA,Kementerian Perencanaan Pembangunan Nasional,Upload Dokumen Penawaran,114 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pengadaan tenaga ahli bidang planologi/perencanaan wilayah kota mendukung pelaksanaan penyusunan kajian konsep forest city perencanaan ibu kota negara,114000000.0,0.0,103446754.79247338
45,6512119,"PENGADAAN TENAGA AHLI/KONSULTAN INDIVIDUAL BIDANG EVALUASI DALAM RANGKA PELAKSANAAN KEGIATAN KOORDINASI PERENCANAAN, PEMANTAUAN, DAN EVALUASI DANA ALOKASI KHUSUS (DAK) SUBBIDANG KEHUTANAN",Kementerian Perencanaan Pembangunan Nasional,Upload Dokumen Penawaran,120 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pengadaan tenaga ahli/konsultan individual bidang evaluasi rangka pelaksanaan kegiatan koordinasi perencanaan pemantauan evaluasi dana alokasi khusus dak subbidang kehutanan,120000000.0,0.0,108891320.8341825
46,6511119,PENGADAAN TENAGA AHLI BIDANG KEHUTANAN  UNTUK MENDUKUNG PELAKSANAAN KEGIATAN KOORDINASI PENYUSUNAN RENCANA PEMBANGUNAN JANGKA MENENGAH NASIONAL (RPJMN) 2020-2024 BIDANG KEHUTANAN DAN KONSERVASI SUMBER DAYA AIR,Kementerian Perencanaan Pembangunan Nasional,Upload Dokumen Penawaran,126 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pengadaan tenaga ahli bidang kehutanan mendukung pelaksanaan kegiatan koordinasi penyusunan rencana pembangunan jangka menengah nasional rpjmn 2020-2024 bidang kehutanan konservasi sumber daya air,126000000.0,0.0,114335886.87589164
47,6510119,PENGADAAN TENAGA AHLI BIDANG PENGELOLAAN SUMBER DAYA AIR UNTUK MENDUKUNG PELAKSANAAN KEGIATAN KOORDINASI PENYUSUNAN RENCANA PEMBANGUNAN JANGKA MENENGAH NASIONAL (RPJMN) 2020-2024 BIDANG KEHUTANAN DAN KONSERVASI SUMBER DAYA AIR  TAHUN ANGGARAN 2020,Kementerian Perencanaan Pembangunan Nasional,Upload Dokumen Penawaran,126 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pengadaan tenaga ahli bidang pengelolaan sumber daya air mendukung pelaksanaan kegiatan koordinasi penyusunan rencana pembangunan jangka menengah nasional rpjmn 2020-2024 bidang kehutanan konservasi sumber daya air tahun anggaran 2020,126000000.0,0.0,114335886.87589164
48,6509119,PENGADAAN TENAGA AHLI SENIOR/KONSULTAN MANAGER PILAR PEMBANGUNAN SOSIAL KEGIATAN KOORDINASI STRATEGIS PELAKSANAAN TUJUAN PEMBANGUNAN BERKELANJUTAN (TPB)/  SUSTAINABLE DEVELOPMENT GOALS (SDGS),Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,660 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pengadaan tenaga ahli senior/konsultan manager pilar pembangunan sosial kegiatan koordinasi strategis pelaksanaan tujuan pembangunan berkelanjutan tpb sustainable development goals sdgs,660000000.0,0.0,598902264.5880038
49,6507119,PENGADAAN TENAGA AHLI SENIOR/KONSULTAN MANAGER PILAR PEMBANGUNAN EKONOMI KEGIATAN KOORDINASI STRATEGIS PELAKSANAAN TUJUAN PEMBANGUNAN BERKELANJUTAN (TPB)/  SUSTAINABLE DEVELOPMENT GOALS (SDGS),Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,660 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pengadaan tenaga ahli senior/konsultan manager pilar pembangunan ekonomi kegiatan koordinasi strategis pelaksanaan tujuan pembangunan berkelanjutan tpb sustainable development goals sdgs,660000000.0,0.0,598902264.5880038
50,6506119,PENGADAAN TENAGA PROFESIONAL ASISTEN MANAGER PILAR PEMBANGUNAN HUKUM DAN TATA KELOLA BIDANG DATABASE KEGIATAN KOORDINASI PELAKSANAAN PENCAPAIAN TUJUAN PEMBANGUNAN BERKELANJUTAN/SDGS Direktorat Kehutanan dan Konservasi Sumber Daya Air Tahun Anggaran 2020,Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,"153,3 Jt",Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,pengadaan tenaga profesional asisten manager pilar pembangunan hukum tata kelola bidang database kegiatan koordinasi pelaksanaan pencapaian tujuan pembangunan berkelanjutan/sdgs direktorat kehutanan konservasi sumber daya air tahun anggaran 2020,153300000.0,0.0,139108662.36566815
