Kode,Nama Paket,Instansi,Tahap,HPS
6589119,Tenaga Ahli Ekonomi Kegiatan Koordinasi Strategis Pelaksanaan DAK Transportasi spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],312 Jt
6588119,Tenaga Ahli Monitoring dan Evaluasi Kegiatan Koordinasi Strategis Pelaksanaan DAK Transportasi spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],312 Jt
6587119,Tenaga Ahli Muda Project Management Kegiatan Persiapan dan Pengembangan Program Compact Tahap II spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Upload Dokumen Penawaran,120 Jt
6585119,"Perawatan, Pemeliharaan, Keindahan dan Keamanan Gedung LKPP Tender Ulang spse 4.3  Jasa Lainnya - TA 2020 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat",Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,Download Dokumen Pemilihan [...],"11,5 M"
6584119,Pekerjaan Pengadaan Alat Rumah Tangga TA. 2020 spse 4.3  Pengadaan Barang - TA 2020 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Pembukaan Dokumen Penawaran [...],"567,7 Jt"
6583119,Pekerjaan Alat Tulis Kantor TA. 2020 spse 4.3  Pengadaan Barang - TA 2020 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Pembukaan Dokumen Penawaran [...],"1,4 M"
6582119,Konsultan Pengembangan Aplikasi SPSE II spse 4.3  Jasa Konsultansi Badan Usaha - TA 2020 - Seleksi - Prakualifikasi Dua File Pagu AnggaranNilai Kontrak : Nilai Kontrak belum dibuat,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,Download Dokumen Kualifikasi [...],480 Jt
6581119,Konsultan Pengembangan Aplikasi SPSE I spse 4.3  Jasa Konsultansi Badan Usaha - TA 2020 - Seleksi - Prakualifikasi Dua File Pagu AnggaranNilai Kontrak : Nilai Kontrak belum dibuat,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,Download Dokumen Kualifikasi [...],715 Jt
6580119,Langganan Jasa Layanan Internet di Lingkungan Sekretariat Kabinet TA 2020 spse 4.3  Jasa Lainnya - TA 2020 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Sekretariat Kabinet,Upload Dokumen Penawaran,"1,9 M"
6578119,Pekerjaan Sewa Pengharum Ruangan dan Sistem Sanitasi Toilet TA. 2020 spse 4.3  Jasa Lainnya - TA 2020 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Pembukaan Dokumen Penawaran [...],"363,1 Jt"
6577119,Pekerjaan Pemeliharaan Sistem Tata Udara TA. 2020 spse 4.3  Jasa Lainnya - TA 2020 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Pembukaan Dokumen Penawaran [...],"991,3 Jt"
6576119,"Pekerjaan Pemeliharaan Sistem Pemadam Kebakaran (Hydrant, APAR, Spinkler, dan Fire Alarm) TA. 2020 spse 4.3  Jasa Lainnya - TA 2020 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat",Kementerian Perencanaan Pembangunan Nasional,Pembukaan Dokumen Penawaran [...],"752,8 Jt"
6575119,Pekerjaan Pemeliharaan Sistem Plumbing dan STP TA. 2020 spse 4.3  Jasa Lainnya - TA 2020 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Pembukaan Dokumen Penawaran [...],"524,1 Jt"
6574119,Pekerjaan Pemeliharaan Sistem Mekanikal dan Elektrikal TA. 2020 spse 4.3  Jasa Lainnya - TA 2020 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Pembukaan Dokumen Penawaran [...],"824,8 Jt"
6573119,-     Cleaning service spse 4.3  Jasa Lainnya - TA 2020 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Sekretariat Kabinet,"Evaluasi Administrasi, Kualifikasi, Teknis, dan Harga","2,1 M"
6572119,Pekerjaan Pemeliharaan Kebersihan Gedung dan Taman TA. 2020 spse 4.3  Jasa Lainnya - TA 2020 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Upload Dokumen Penawaran,"6,9 M"
6570119,Pekerjaan Sewa Mesin Fotokopi TA. 2020 spse 4.3  Jasa Lainnya - TA 2020 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,"Evaluasi Administrasi, Kualifikasi, Teknis, dan Harga [...]","8,3 M"
6569119,Konsultan Pengembangan Aplikasi Pendukung SPSE spse 4.3  Jasa Konsultansi Badan Usaha - TA 2020 - Seleksi - Prakualifikasi Dua File Pagu AnggaranNilai Kontrak : Nilai Kontrak belum dibuat,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,Kirim Persyaratan Kualifikasi,"1,4 M"
6568119,Pengadaan Jasa Mechanical Electrical Tahun Anggaran 2020 Tender Ulang spse 4.3  Jasa Lainnya - TA 2020 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Pemberdayaan Perempuan Dan Perlindungan Anak,Masa Sanggah,"2,9 M"
6567119,Pengadaan Jasa Pengamanan Tahun Anggaran 2020 Tender Ulang spse 4.3  Jasa Lainnya - TA 2020 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Pemberdayaan Perempuan Dan Perlindungan Anak,Masa Sanggah,"3,6 M"
6566119,Pengadaan Sewa Mesin Fotocopy Tahun 2020 spse 4.3  Jasa Lainnya - TA 2020 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Sekretariat Kabinet,Masa Sanggah,"1,2 M"
6552119,Pembangunan Reservoir Jengkol Kapasitas 150 m3 Cabang Garung Tender Ulang spse 4.3  Pekerjaan Konstruksi - TA 2019 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,PDAM Tirta Aji Kabupaten Wonosobo,Masa Sanggah,"457,6 Jt"
6547119,Pengadaan Jasa Cleaning Service Bulan Januari s.d. Desember Tahun 2020 spse 4.3  Jasa Lainnya - TA 2020 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Badan Pemeriksa Keuangan,Masa Sanggah,2 M
6544119,Konsultan Penghubung/Liasson Officer (Lo) Provinsi Papua Barat Pada Kegiatan Desk Percepatan Pembangunan Wilayah Papua Dan Papua Barat (Desk Papua) spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,144 Jt
6542119,Tenaga Ahli Senior Bidang  Kelembagaan Dan Tata Kelola Pada Kegiatan Desk Percepatan Pembangunan Wilayah Papua Dan Papua Barat (Desk Papua) spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,189 Jt
6541119,Pengadaan Jasa Event Organizer Promosi Bidang Perlindungan Hak Perempuan spse 4.3  Jasa Lainnya - TA 2019 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Pemberdayaan Perempuan Dan Perlindungan Anak,Tender Sudah Selesai,"1,7 M"
6538119,PENGADAAN JASA TENAGA ASISTEN MANAJER  BIDANG MONITORING DAN EVALUASI PUSAT dan DAERAH REGIONAL 2  KEGIATAN KOORDINASI STRATEGIS PELAKSANAAN TUJUAN PEMBANGUNAN BERKELANJUTAN/SUSTAINABLE DEVELOPMENT GOALS (TPB/SDGs) TAHUN 2020  DIREKTORAT KEHUTANAN DAN KONSERVASI SUMBER DAYA AIR TAHUN ANGGARAN 2020 spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,"Pembukaan dan Evaluasi Penawaran File I: Administrasi, Dokumen Kualifikasi, dan Teknis",180 Jt
6534119,Pengadaan Jasa Kebersihan Tahun Anggaran 2020 spse 4.3  Jasa Lainnya - TA 2020 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Pemberdayaan Perempuan Dan Perlindungan Anak,Surat Penunjukan Penyedia Barang/Jasa,"4,3 M"
6532119,"Pekerjaan Pengadaan dan Pemasangan Pipa Distribusi HDPE Dia. 300mm, Panjang 1600 Meter di PDAM Cabang Tenggarong spse 4.3  Pekerjaan Konstruksi - TA 2019 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat",PDAM Tirta Mahakam,Tidak Ada Jadwal,"3,1 M"
6527119,Media Visual LED Videotron Indoor Tender Ulang spse 4.3  Pengadaan Barang - TA 2019 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem GugurNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Koordinator Bidang Kemaritiman,Tender Sudah Selesai,"1,5 M"
6519119,Tenaga Ahli/Konsultan Bidang Konservasi Sumber Daya Alam dan Lingkungan spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Pembuktian Kualifikasi [...],132 Jt
6518119,Tenaga Ahli /Konsultan Bidang Studi Pengelolaan Sumber Daya Alam dan Lingkungan/Kebijakan Publik spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,108 Jt
6517119,TENAGA AHLI/KONSULTAN BIDANG EKONOMI   SUMBER DAYA ALAM DAN LINGKUNGAN spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Pembuktian Kualifikasi [...],150 Jt
6516119,TENAGA AHLI/KONSULTAN BIDANG PENGELOLAAN   SUMBER DAYA ALAM DAN LINGKUNGAN HIDUP spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,108 Jt
6513119,PENGADAAN TENAGA AHLI BIDANG PLANOLOGI/PERENCANAAN WILAYAH KOTA UNTUK MENDUKUNG PELAKSANAAN PENYUSUNAN KAJIAN KONSEP FOREST CITY  DALAM PERENCANAAN IBU KOTA NEGARA spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Download Dokumen Pemilihan [...],114 Jt
6512119,"PENGADAAN TENAGA AHLI/KONSULTAN INDIVIDUAL BIDANG EVALUASI DALAM RANGKA PELAKSANAAN KEGIATAN KOORDINASI PERENCANAAN, PEMANTAUAN, DAN EVALUASI DANA ALOKASI KHUSUS (DAK) SUBBIDANG KEHUTANAN spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat",Kementerian Perencanaan Pembangunan Nasional,Download Dokumen Pemilihan [...],120 Jt
6511119,PENGADAAN TENAGA AHLI BIDANG KEHUTANAN  UNTUK MENDUKUNG PELAKSANAAN KEGIATAN KOORDINASI PENYUSUNAN RENCANA PEMBANGUNAN JANGKA MENENGAH NASIONAL (RPJMN) 2020-2024 BIDANG KEHUTANAN DAN KONSERVASI SUMBER DAYA AIR spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Download Dokumen Pemilihan [...],126 Jt
6510119,PENGADAAN TENAGA AHLI BIDANG PENGELOLAAN SUMBER DAYA AIR UNTUK MENDUKUNG PELAKSANAAN KEGIATAN KOORDINASI PENYUSUNAN RENCANA PEMBANGUNAN JANGKA MENENGAH NASIONAL (RPJMN) 2020-2024 BIDANG KEHUTANAN DAN KONSERVASI SUMBER DAYA AIR  TAHUN ANGGARAN 2020 spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Download Dokumen Pemilihan [...],126 Jt
6509119,PENGADAAN TENAGA AHLI SENIOR/KONSULTAN MANAGER PILAR PEMBANGUNAN SOSIAL KEGIATAN KOORDINASI STRATEGIS PELAKSANAAN TUJUAN PEMBANGUNAN BERKELANJUTAN (TPB)/  SUSTAINABLE DEVELOPMENT GOALS (SDGS) spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,660 Jt
6507119,PENGADAAN TENAGA AHLI SENIOR/KONSULTAN MANAGER PILAR PEMBANGUNAN EKONOMI KEGIATAN KOORDINASI STRATEGIS PELAKSANAAN TUJUAN PEMBANGUNAN BERKELANJUTAN (TPB)/  SUSTAINABLE DEVELOPMENT GOALS (SDGS) spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,"Pembukaan dan Evaluasi Penawaran File I: Administrasi, Dokumen Kualifikasi, dan Teknis",660 Jt
6506119,PENGADAAN TENAGA PROFESIONAL ASISTEN MANAGER PILAR PEMBANGUNAN HUKUM DAN TATA KELOLA BIDANG DATABASE KEGIATAN KOORDINASI PELAKSANAAN PENCAPAIAN TUJUAN PEMBANGUNAN BERKELANJUTAN/SDGS Direktorat Kehutanan dan Konservasi Sumber Daya Air Tahun Anggaran 2020 spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,"Pembukaan dan Evaluasi Penawaran File I: Administrasi, Dokumen Kualifikasi, dan Teknis","153,3 Jt"
6504119,PENGADAAN JASA MANAJER MONITORING DAN EVALUASI  KEGIATAN KOORDINASI STRATEGIS PELAKSANAAN TUJUAN PEMBANGUNAN BERKELANJUTAN/SUSTAINABLE DEVELOPMENT GOALS (TPB/SDGs) TAHUN 2019  DIREKTORAT KEHUTANAN DAN KONSERVASI SUMBER DAYA AIR TAHUN ANGGARAN 2020 spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,660 Jt
6503119,PENGADAAN TENAGA AHLI/KONSULTAN  ASISTEN MANAGER PILAR PEMBANGUNAN LINGKUNGAN BIDANG DATABASE KEGIATAN KOORDINASI STRATEGIS PELAKSANAAN  TUJUAN PEMBANGUNAN BERKELANJUTAN (TPB)/ SUSTAINABLE DEVELOPMENT GOALS (SDGS) spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,"Pembukaan dan Evaluasi Penawaran File I: Administrasi, Dokumen Kualifikasi, dan Teknis","153,3 Jt"
6502119,GRAPHIC DESIGNER SEKRETARIAT PEMBANGUNAN RENDAH KARBON  DIREKTORAT LINGKUNGAN HIDUP BAPPENAS TAHUN ANGGARAN 2020 spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Klarifikasi Teknis dan Negosiasi,"123,7 Jt"
6501119,ENERGY LIAISON  SEKRETARIAT PEMBANGUNAN RENDAH KARBON  DIREKTORAT LINGKUNGAN HIDUP BAPPENAS TAHUN ANGGARAN 2020 spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Klarifikasi Teknis dan Negosiasi,"127,2 Jt"
6500119,LAND BASED LIAISON OFFICER  SEKRETARIAT PEMBANGUNAN RENDAH KARBON  DIREKTORAT LINGKUNGAN HIDUP BAPPENAS TAHUN ANGGARAN 2020 spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,126 Jt
6499119,WASTE LIAISON  SEKRETARIAT PEMBANGUNAN RENDAH KARBON  DIREKTORAT LINGKUNGAN HIDUP BAPPENAS TAHUN ANGGARAN 2020 spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,132 Jt
6498119,BLUE CARBON LIAISON   SEKRETARIAT PEMBANGUNAN RENDAH KARBON  DIREKTORAT LINGKUNGAN HIDUP BAPPENAS TAHUN ANGGARAN 2020 spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,126 Jt
6497119,TRANSPORT LIAISON  SEKRETARIAT PEMBANGUNAN RENDAH KARBON  DIREKTORAT LINGKUNGAN HIDUP BAPPENAS TAHUN ANGGARAN 2020 spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Masa Sanggah,126 Jt
6495119,Tenaga Ahli Program Development 2 Kegiatan Persiapan dan Pengembangan Program Compact Tahap II spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Upload Dokumen Penawaran,252 Jt
6494119,KNOWLEDGE MANAGEMENT MANAGER LCDI DIREKTORAT LINGKUNGAN HIDUP BAPPENAS TAHUN ANGGARAN 2020 spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Klarifikasi Teknis dan Negosiasi,189 Jt
6493119,Tenaga Ahli Program Development 1 Kegaiatan Persiapan dan Pengembangan Program Compact Tahap II spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Upload Dokumen Penawaran,252 Jt
6492119,Tenaga Ahli Outreach/Consultant Lead Kegiatan Persiapan dan Pengembangan Program Compact Tahap II spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,"Pembukaan dan Evaluasi Penawaran File I: Administrasi, Dokumen Kualifikasi, dan Teknis",576 Jt
6491119,DATABASE MANAGER  PADA SEKRETARIAT PEMBANGUNAN RENDAH KARBON DIREKTORAT LINGKUNGAN HIDUP BAPPENAS  TAHUN ANGGARAN 2020 spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tidak Ada Jadwal,"289,8 Jt"
6490119,Tenaga Ahli  Social & Gender Specialist Kegiatan Persiapan dan Pengembangan Program Compact Tahap II spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,"Pembukaan dan Evaluasi Penawaran File I: Administrasi, Dokumen Kualifikasi, dan Teknis",600 Jt
6489119,TEAM LEADER STRATEGIC PARTNERSHIP SEKRETARIAT PEMBANGUNAN RENDAH KARBON DIREKTORAT LINGKUNGAN HIDUP BAPPENAS TAHUN ANGGARAN 2020 spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Tidak Ada Jadwal,"291,1 Jt"
6488119,Tenaga Ahli Monitoring dan Evaluasi kegiatan persiapan dan Pengembangan Compact Tahap II spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,"Pembukaan dan Evaluasi Penawaran File I: Administrasi, Dokumen Kualifikasi, dan Teknis",600 Jt
6487119,Tenaga Ahli National Coordinator Kegiatan Persiapan dan Pengembangan Program Compact Tahap II spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,"Pembukaan dan Evaluasi Penawaran File I: Administrasi, Dokumen Kualifikasi, dan Teknis","1,2 M"
6486119,KEPALA SEKRETARIAT  SEKRETARIAT PEMBANGUNAN RENDAH KARBON  DIREKTORAT LINGKUNGAN HIDUP BAPPENAS TAHUN ANGGARAN 2020 spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Klarifikasi Teknis dan Negosiasi,348 Jt
